id,question,relevance_score,utilization_score,completeness_score,adherence_score,response
SPARKLINGSPRINGWATERHOLDINGSLTD_07_03_2002-EX-10.13-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT__Volume Restriction,"Is there a fee increase or consent requirement, etc. if one party’s use of the product/services exceeds certain threshold?",0.15384615384615385,0.0,0.0,1.0,There is no information in the provided documents that addresses a fee increase or consent requirement in the event that one party's use of the product/services exceeds a certain threshold.
EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC.__Rofr/Rofo/Rofn,"Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?",0.2222222222222222,0.1111111111111111,0.5,0.0,"Yes, there are several clauses granting a right of first refusal or right of first offer in the provided documents.

In Document 1, Section 2.03(a) grants the Network 1 a ""Right of First Refusal"" to purchase all or any part of the revenue due Affiliate or acquire Affiliate (as the case may be) on the same terms and conditions as the Bona Fide Offer.

In Document 2, Section 1 grants Hyatt or Playa, as applicable, a ""Right of First Offer"" to acquire the Development Property, and Section 3 provides a ""Right of First Refusal"" to accept a proposed offer or arrangement from a third party.

However, the most detailed and comprehensive clause granting a right of first refusal is in Document 1, Section 2.03(a).

There are also other similar clauses in the provided documents that grant one party a right of first offer or right of first negotiation, such as in Document 5, which grants North a right of first offer to endorse or promote products similar to the Endorsed Product.

Document 4 also mentions the possibility of sublicensing, but it does not explicitly mention a right of first refusal or offer.

Document 3 and Document 4 are more focused on licensing"
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT__Warranty Duration","What is the duration of any  warranty against defects or errors in technology, products, or services  provided under the contract?",0.36538461538461536,0.36538461538461536,1.0,0.0,"Based on the context documents, I cannot determine the duration of any warranty against defects or errors in technology, products, or services provided under the contract. The context documents mention various provisions related to warranties, but they do not specify the duration of such warranties.

However, Document 2 mentions that during the Warranty Period, Supplier shall provide Bank of America Maintenance Services at no additional charge.

Document 2 also mentions that the Maintenance Services shall continue to be provided without additional charge until the Customization is Operative.

It seems that the duration of the warranty period is not explicitly mentioned in the context documents."
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT__Joint Ip Ownership,Is there any clause providing for joint or shared ownership of intellectual property between the parties to the contract?,0.2222222222222222,0.037037037037037035,0.16666666666666666,0.0,"Yes, there are clauses providing for joint or shared ownership of intellectual property in the given context documents.

In Document 2, Section 5.4, it is stated that:

""(b) Stryker acknowledges and agrees that, as between the Parties, Conformis owns all right, title and interest, including all Intellectual Property rights, in and to Conformis Background IP and Conformis' Confidential Information, including any Conformis Confidential Information underlying the Joint IP, and that, under this Agreement, Stryker shall acquire no right, title, or interest in or to any of the foregoing or any other Intellectual Property rights that are owned or controlled by Conformis, by implication, estoppel or otherwise.""

However, this does not provide for joint ownership. 

In Document 4, Section 4.2.3.2.3, it is stated that:

""4.2.3.2.3. if such rights comprise (i) analysis prepared for or on behalf of the Parties as participants in the Company-Skype Branded Application, or (ii) any intellectual property right co-developed by the Parties, or (iii) of any Support Information, or (iv) any data as specifically provided to Skype or"
"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC.__Non-Compete",Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector? ,0.11290322580645161,0.06451612903225806,0.5714285714285714,0.0,"Based on the provided context documents, there are specific restrictions on certain parties:

Document 1 mentions that a company cannot market, promote, sell, distribute, or otherwise commercialize a Competing Product in the Territory without the prior written consent of Janssen. However, this is a restriction specifically related to a Competing Product in the Territory. There is no general restriction on competing in other geographic areas or business or technology sectors.

Document 1 also mentions that a company and its affiliates will not compare their products with the Product in any aspect nor disparage the Product in any manner during the promotion of any product.

Document 3 mentions that Hyatt and Playa will not allow third parties to operate a Hyatt All-Inclusive Resort in the Market Area without giving the other party notice and the opportunity to negotiate for the management of the resort.

Overall, while there are specific restrictions, there is no general restriction on competing with the counterparty or operating in a certain geography or business or technology sector."
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement__Ip Ownership Assignment,"Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?",0.18867924528301888,0.09433962264150944,0.5,0.0,"Based on the provided context documents, here are the situations where intellectual property created by one party becomes the property of the counterparty:

1. Document 1, Section 4.2.3.2.1: If joint intellectual property rights are created or developed by the parties as a result of the collaboration under this Agreement, and such rights comprise intellectual property that constitutes predominantly communication software or related communication hardware or other technology, or any ""user"" names and other ""user profile"" information included within the Company-Skype Branded Application, then such rights shall be owned exclusively by Skype.

2. Document 1, Section 4.2.3.2.2: If joint intellectual property rights are created or developed by the parties as a result of the collaboration under this Agreement, and such rights comprise any data specifically provided to the Group by Customers during the billing process (""Billing Data""), then such rights shall be owned exclusively by the Online Group.

3. Document 2, Section 10.1: Any improvements, enhancements, modifications or developments to a Party's intellectual property shall automatically vest in that Party, irrespective of who generates the relevant improvement, enhancement, modification or development.

4. Document 2, Section 10.1: However, in none"
SMITHELECTRICVEHICLESCORP_04_04_2012-EX-10.26-FLEET MAINTENANCE AGREEMENT__Exclusivity,"Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).",0.03056768558951965,0.008733624454148471,0.2857142857142857,0.0,"Based on the provided context documents, there are provisions related to exclusivity in Document 1:

Section 2.1(e) states that during the Exclusivity Period, on a Product SKU-by-Product SKU and country-by-country basis within the applicable Territory, Customer shall purchase from Manufacturer, in accordance with the terms and conditions of this Agreement, at least the Exclusive Purchase Requirement of its requirements for such Product SKU in such country.

However, it is clarified that this exclusivity requirement does not apply to In-Flight or Shared Volume Products and that the customer or its affiliates are free to manufacture Product for itself, or have Product manufactured by a Third Party, including in amounts in addition to the Purchase Orders for Product issued to Manufacturer in accordance with this Agreement.

There is no clear-cut exclusive dealing commitment where the counterparty is required to procure all ""requirements"" from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods, or services to third parties, or a prohibition on collaborating or working with other parties."
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT__Affiliate License-Licensor,Does the contract contain a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor? ,0.21875,0.21875,1.0,1.0,"Based on the provided documents, there is no explicit mention of a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor.

Document 1 mentions that if LICENSOR is not the sole and exclusive owner of all intellectual property rights to the Content, then LICENSOR has been granted by the owner or rightful sub-licensee of the intellectual property of the Content the right to grant the rights provided by LICENSOR to plan_b under this Agreement. However, this does not necessarily imply that the intellectual property rights in question belong to affiliates of the licensor.

Document 2 and Document 4 do not mention affiliates of the licensor.

Document 5 mentions representations and warranties made by LICENSOR, but there is no information about affiliates of the licensor.

Therefore, based on the provided documents, it is not clear whether the contract contains a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor."
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.__Competitive Restriction Exception","This category includes the exceptions or carveouts to Non-Compete, Exclusivity and No-Solicit of Customers above.",0.13636363636363635,0.045454545454545456,0.3333333333333333,0.0,"Based on the provided context documents, the exceptions or carveouts to Non-Compete, Exclusivity, and No-Solicit of Customers are as follows:

1. From Document 1: 
- In-flight or Shared Volume Products are excluded from the exclusivity requirements set forth in Section 2.1(e)(i).
- Customer or its Affiliates can manufacture Product for themselves, or have Product manufactured by a Third Party, including in amounts in addition to the Purchase Orders for Product issued to Manufacturer.

2. From Document 3: 
- If a Third Party acquires Company, and such Acquirer or any of its Affiliates is commercializing a Competing Product in the Territory, then either Party shall have the right to terminate this Agreement on [***] ([***]) days written notice delivered within [***] ([***]) days of the closing of such Acquisition.
- Company shall not be deemed to be marketing, promoting, selling, distributing or commercializing a Competing Product in breach of this Section for so long as it is conducting such activities solely through personnel who are not involved in any activities under this Agreement and do not have access to Janssen's Confidential Information hereunder.

3. From Document 2: 
- This document does not"
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement__Governing Law,Which state/country's law governs the interpretation of the contract?,0.056179775280898875,0.056179775280898875,1.0,1.0,"Based on the provided context documents:

- Document 1: Nevada
- Document 2: Florida
- Document 3: North Carolina
- Document 4: Delaware
- Document 5: California

The state/country's law governing the interpretation of the contract can vary depending on the specific document. However, if we consider the documents as a whole, we can conclude that there is no single state/country that governs all contracts."
