id,question,relevance_score,utilization_score,completeness_score,adherence_score,response
SPARKLINGSPRINGWATERHOLDINGSLTD_07_03_2002-EX-10.13-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT__Volume Restriction,"Is there a fee increase or consent requirement, etc. if one party’s use of the product/services exceeds certain threshold?",0.14705882352941177,0.04411764705882353,0.3333333333333333,0.0,"Based on the provided context documents, there are a few instances where a fee increase or consent requirement is mentioned:

- In Document 2, Section 5, it is stated that ""At the end of the initial one-year term of this Agreement and any subsequent one-year terms, eGain may adjust the monthly fee payable under this Agreement by providing Customer written notice of such adjustment at least sixty (60) days prior to the beginning of the new term.""

- In Document 3, there is no mention of a direct fee increase or consent requirement based on the usage of the product/services exceeding a certain threshold. However, Section 7(a)iii mentions a minimum of ***** Payment-Eligible User Data records that Excite@Home must supply to Application Provider.

- In Document 5, there is a provision where the Licensor may terminate the Agreement if the Licensee does not enter into Sublicenses and other agreements that result in fees payable to Licensor in an aggregate amount equal to or greater than the Quota Amount for any year during the term hereof. However, this is not a fee increase, but rather a requirement for the Licensee to meet a certain threshold of revenue generation in order to avoid termination.

- In Document 4, Section"
EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC.__Rofr/Rofo/Rofn,"Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?",0.23225806451612904,0.0967741935483871,0.4166666666666667,0.0,"Yes, there is a clause granting one party a right of first refusal in the context of the provided documents. 

In Document 2, Section (r) mentions, ""Except as would not reasonably be expected to have a Material Adverse Effect, all leases to which the Company or any of its subsidiaries is a party are valid and binding and no default by the Company or any of its subsidiaries has occurred and is continuing thereunder, and, to the Company's knowledge, no material defaults by the landlord are existing under any such lease.""

However, the most relevant clause granting a right of first refusal is mentioned in Document 3, Section (ss), which defines ""Required Consents"" as ""any consents or approvals required to be obtained... for the transfer of any assets to and the assumption of the obligations attendant therewith by a party and release of the transferring party from such obligations;""

Document 3, Section (ss) also mentions that ""Required Consents"" is essential for parties to assume financial, support, operational, management and/or administrative responsibility for the Third Party Rights utilized in the operation of the Equifax Business or Certegy Business.

Further, the Document 3, Section (ss) also states that ""Required Consents"" is necessary for"
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT__Warranty Duration","What is the duration of any  warranty against defects or errors in technology, products, or services  provided under the contract?",0.5402298850574713,0.14942528735632185,0.2765957446808511,0.0,"Based on the provided context documents, the duration of any warranty against defects or errors in technology, products, or services provided under the contract varies as follows:

- Document 1: 12 months for performance and media defects (Section 12.2 and Section 12.1).
- Document 2: 1 year commencing on acceptance of the Licensed Technology by the LICENSEE (Section 8.2).
- Document 3: For OEM Products, 1 year from the date of shipment by Distributor to a customer (Section 10.2). For retail Products, the duration of the warranty is not specified.
- Document 4: The warranty does not specify a duration, but it is implied to be for a certain period as it is subject to the warranty period, which is not specified.
- Document 5: The Initial Warranty Period is not explicitly defined in the provided text, but based on the context, it seems to be 1 year, as it is mentioned as the ""Initial Warranty Period"" in Section 14.3."
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT__Joint Ip Ownership,Is there any clause providing for joint or shared ownership of intellectual property between the parties to the contract?,0.13559322033898305,0.0847457627118644,0.625,1.0,"Based on the context documents provided, there are clauses related to intellectual property (IP) ownership and assignment, but none that provide for joint or shared ownership between the parties to the contract.

In Document 1, Section (a) mentions that each Party agrees to assign an undivided one-half right, title, and interest in and to all Joint IP to the other Party. However, this is an assignment of ownership, not a joint or shared ownership arrangement.

Document 2, Section 2.4, mentions that RemainCo is the sole and exclusive owner of the Intellectual Property set forth on Schedule 2.4(a), and SpinCo is the sole and exclusive owner of the Intellectual Property set forth on Schedule 2.4(b). This suggests that each Party is the sole owner of their respective IP, rather than sharing ownership.

Document 5, Section 5.2, mentions a license to use intellectual property rights, but it does not suggest joint or shared ownership.

Therefore, based on the provided context documents, there is no clause that provides for joint or shared ownership of intellectual property between the parties to the contract."
"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC.__Non-Compete",Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector? ,0.08695652173913043,0.06521739130434782,0.75,0.0,"Based on the provided context documents, there are several restrictions on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector.

In Document 1, there is no mention of any exclusivity or non-competition clauses.

In Document 2, Section 11.3 Non-Competition and Non-Solicitation, it is stated that Network Affiliate and its affiliates agree not to engage or participate in any business that competes with any business that NCM is authorized to conduct in the Territory. The restrictions do not apply in certain circumstances, such as (i) when Network Affiliate acquires a competing business as part of an acquisition of another business, (ii) when Network Affiliate has a direct or indirect ownership or other equity investments in a competing business that represents less than 10% of the voting power of all outstanding equity of such business, or (iii) when Network Affiliate enters into an agreement for the acquisition or installation of equipment or the provision of services on customary terms.

In Document 4, there is no mention of any exclusivity or non-competition clauses.

In Document 5, there is no mention of any exclusivity or non-competition clauses.

However, in Document 3, Section 19."
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement__Ip Ownership Assignment,"Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?",0.21212121212121213,0.09090909090909091,0.35714285714285715,0.0,"Based on the provided context documents, the answer is yes, intellectual property created by one party can become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events.

In Document 2, Section 2.4, it is stated that ""RemainCo is and shall be the sole and exclusive owner of the Intellectual Property set forth on Schedule 2.4(a), and SpinCo agrees that it shall do nothing inconsistent with such ownership."" This suggests that intellectual property created by one party (SpinCo) can become the property of the other party (RemainCo) per the terms of the contract.

In Document 3, Section 8.2, it is stated that ""any Improvements or Developments that are specific to and otherwise solely relate to, the manufacturing, processing or packaging of Products (such Improvements and Developments, collectively, 'Customer-Owned Improvements and Developments')"" shall be the exclusive property of Customer. This suggests that intellectual property created by one party (Manufacturer) can become the property of the other party (Customer) per the terms of the contract.

In Document 5, ""Insolvency Event"" is defined as an event where a party becomes insolvent, which can lead to the"
SMITHELECTRICVEHICLESCORP_04_04_2012-EX-10.26-FLEET MAINTENANCE AGREEMENT__Exclusivity,"Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).",0.10038610038610038,0.10038610038610038,1.0,0.0,"Based on the provided context documents, there is no clear indication of an exclusive dealing commitment with the counterparty. However, some documents do contain provisions that restrict the parties' behavior, particularly in terms of confidentiality, non-disclosure, and post-termination obligations.

In Document 4, Section 21.E states that the relationship between the parties is that of independent contractors, and neither party shall be liable for the acts of the other party.

In Document 5, Section 4.6 states that SHPS shall be and remain an independent contractor with respect to the performance of its obligations under this Agreement, and nothing contained in the Agreement shall be deemed to constitute either of the parties a joint venturer or partner of the other.

While these provisions do not explicitly prohibit the parties from collaborating or working with other parties, they do suggest a level of independence and non-liability for each other's actions.

However, there are some provisions that could be interpreted as restrictive of the parties' behavior, such as:

* In Document 2, Section 10.e, which requires the Reseller to immediately discontinue any use of the Company's name, logotype, Marks, or slogans, and to cease promoting, soliciting orders for, or procuring orders for the Product.
*"
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT__Affiliate License-Licensor,Does the contract contain a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor? ,0.06493506493506493,0.06493506493506493,1.0,1.0,"No, the contract does not contain a license grant by affiliates of the Licensor. However, it does contain provisions related to the assignment of the Agreement, which allows the Licensor to assign its rights and obligations to its Affiliates or subsidiaries, and the Licensee to assign its rights and obligations to its Affiliates or subsidiaries with the prior written consent of the Licensor.

As for the inclusion of intellectual property of affiliates of the Licensor, the contract does not explicitly state that such intellectual property is included in the License Grant. However, Section 6.2 of Document 2, ""TITLE TO LICENSED PRODUCTS,"" states that the Licensor represents and warrants that it possesses all right, title, and interest in and to the Licensed Products and the Documentation, and that the use of each of the Licensed Products and the Documentation by Licensee, a Redistributor, or a Customer will not in any way constitute an infringement or other violation of any copyright, trade secret, trademark, patent, or other intellectual property rights or any proprietary information or nondisclosure or other rights of any third party.

It is worth noting that Section 7.15 of Document 5, ""INTELLECTUAL PROPERTY REGISTRATION,"" states that without the prior written consent of Lic"
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.__Competitive Restriction Exception","This category includes the exceptions or carveouts to Non-Compete, Exclusivity and No-Solicit of Customers above.",0.05319148936170213,0.031914893617021274,0.6,0.0,"Based on the provided context documents, the exceptions or carveouts to Non-Compete, Exclusivity, and No-Solicit of Customers are:

1. Document 1: 
- In the case of a dispute regarding the inclusion or exclusion of an online supermarket from Exhibit A, the parties will follow the dispute resolution process described in Section 13(c).
- Excite may display Excite Search results links to NetGrocer's Competitors in Excite Search results pages in response to user queries, may display links to NetGrocer's Competitors in Excite's general directory of Web sites, and, after giving NetGrocer reasonable advance notice, in search results displayed in ""Excite Shopping Service powered by Jango"".
2. Document 4: 
- The Company shall not market, promote, sell, or distribute Company Products or solicit or procure orders for the Company Products, or for any product(s) or service(s) similar to the Company Products, in the Territory other than through the Reseller and pursuant to this Agreement, except with the prior written consent of the Reseller.
- However, the Reseller shall not be prevented from soliciting an existing business customer of Company for joint marketing purposes.
3. Document 5: 
- Marketing Affiliate"
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement__Governing Law,Which state/country's law governs the interpretation of the contract?,0.01818181818181818,0.01818181818181818,1.0,0.0,"Based on the context documents, the laws that govern the interpretation of the contract are as follows:

Document 1: Section 10.9 states that the Agreement shall be governed by, and construed and enforced in accordance with, the substantive laws of the State of Delaware.

Document 2: There is no mention of the governing law in this document.

Document 3: There is no mention of the governing law in this document.

Document 4: Section 22 states that the Agreement shall be governed by and construed under the laws of the State of Florida.

Document 5: Section 14.1 does not list a governing law but Section 25 states that Authority is governed by the laws of the ""State of [redacted]""."
