id,question,relevance_score,utilization_score,completeness_score,adherence_score,response
SPARKLINGSPRINGWATERHOLDINGSLTD_07_03_2002-EX-10.13-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT__Volume Restriction,"Is there a fee increase or consent requirement, etc. if one party’s use of the product/services exceeds certain threshold?",0.04411764705882353,0.04411764705882353,0.6666666666666666,1.0,"Based on the provided context documents, there are the following requirements for a fee increase or consent requirement:

1. Document 2: At the end of the initial one-year term of the Agreement and any subsequent one-year terms, eGain may adjust the monthly fee payable under this Agreement by providing Customer written notice of such adjustment at least sixty (60) days prior to the beginning of the new term.

2. Document 4: In some cases the marketing fee will be a percentage of the margin received by the other Party. The terms of such joint marketing agreement will be mutually agreed to by the Parties in a separate document.

3. Document 5: There is a Quota Amount of $50,000 for each of the first and second years of the original term of this Agreement. If the Licensee does not enter into Sublicenses and other agreements relating to the Licensed Products with Redistributors and Customers that result in fees payable to Licensor hereunder in an aggregate amount equal to or greater than the Quota Amount for any year during the term, Licensor may terminate this Agreement upon ninety (90) days prior written notice."
EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC.__Rofr/Rofo/Rofn,"Is there a clause granting one party a right of first refusal, right of first offer or right of first negotiation to purchase, license, market, or distribute equity interest, technology, assets, products or services?",0.03870967741935484,0.01935483870967742,0.5,1.0,"Yes, there is a clause granting one party a right of first refusal. 

In Document 2, Section (gg) is not available but Section (ss) is available which mentions 'Required Consents' which includes ""consents or approvals required to be obtained (i) to allow the transfer of any assets to and the assumption of the obligations attendant therewith by a party and release of the transferring party from such obligations."" But more specifically in the context of the agreements this is more related to the required consents rather than the right of refusal.

However, in Document 4, Section (g) is not available but Section (g) is available which mentions ""Return of Materials"" which is more related to the return of materials rather than the right of refusal.

But the correct answer is in Document 3, Section (gg) is not available but Section (gg) is not available but Section (ss) is not available but Section (gg) is related to the third party provider and Section (ss) is related to the required consents but the correct answer is in Document 1 and more specifically in 17.G which is ""Pretzel Time's First Right of Refusal."""
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT__Warranty Duration","What is the duration of any  warranty against defects or errors in technology, products, or services  provided under the contract?",0.10344827586206896,0.08045977011494253,0.7777777777777778,0.0,"Based on the provided context documents, the duration of any warranty against defects or errors in technology, products, or services provided under the contract varies:

- Document 1: 12 months for Licensed Products (Section 12.2) and 12 months for media (Section 12.1).
- Document 2: 1 year (Section 8.2, 8.4) for Licensed Technology.
- Document 3: 1 year (Section 10.2) for OEM Products, or 18 months from the date of shipment to Distributor, whichever is sooner.
- Document 4: The warranty period is not specified, but it is stated that the warranty does not apply if the Software has been altered, installed, operated, repaired, or maintained in accordance with instructions supplied by Cisco (Section 4).
- Document 5: 1 year (Section 14.3) for the Initial Warranty Period, and 90 days from date of shipment from Airspan to Distributor for the warranty on repaired or replaced materials (Section 15).

Please note that the warranty duration may vary depending on the specific agreement or contract."
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT__Joint Ip Ownership,Is there any clause providing for joint or shared ownership of intellectual property between the parties to the contract?,0.11864406779661017,0.03389830508474576,0.2857142857142857,0.0,"Yes, there are clauses providing for joint or shared ownership of intellectual property between the parties to the contract.

In Document 1, Section 4(d), it is stated that ""Each Party to whom ownership is to vest in Joint IP by operation of law or by assignment by its employees or Agents agrees to assign and hereby assigns to the other Party an undivided one-half right, title and interest in and to all Joint IP...""

In Document 3, Section 2.4, it is stated that ""If, within thirty-six (36) months of the Distribution Date, either Party has a good faith belief, based on reasonable inquiry, that Schedule 2.4(a) or Schedule 2.4(b) contains an error as to the allocation of ownership of any item of Intellectual Property set forth therein or that, as of the Distribution Date, any item of Intellectual Property was not otherwise properly allocated between RemainCo and the members of the RemainCo Group on the one hand and SpinCo and members of the SpinCo Group on the other hand, such Party will provide written notice to the other party regarding the error or discrepancy and the Parties shall, or shall cause the relevant members of the RemainCo Group and/or SpinCo Group, as necessary, to negotiate in"
"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC.__Non-Compete",Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector? ,0.9347826086956522,0.13043478260869565,0.13953488372093023,0.0,"Based on the provided context documents, there are several restrictions on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector.

In Document 2, Section 11.3 Non-Competition and Non-Solicitation, Network Affiliate and its affiliates agree not to engage or participate in any business that competes or would compete with any business that NCM is authorized to conduct in the Territory. This restriction does not apply in certain circumstances, such as if Network Affiliate acquires a competing business as an incidental part of an acquisition of another business that is not prohibited, or if Network Affiliate enters into an agreement for the acquisition or installation of equipment or the provision of services on customary terms.

In Document 4, Section 2.1(e)(i) Customer Exclusivity, Customer shall purchase from Manufacturer, in accordance with the terms and conditions of this Agreement, at least the Exclusive Purchase Requirement of its requirements for such Product SKU in such country. However, this exclusivity requirement does not apply to In-Flight or Shared Volume Products, and following the Exclusivity Period, nothing in this Agreement shall prevent Customer or any of its Affiliates from manufacturing Product for itself, or having Product manufactured by a Third Party.

In"
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement__Ip Ownership Assignment,"Does intellectual property created  by one party become the property of the counterparty, either per the terms of the contract or upon the occurrence of certain events?",0.30303030303030304,0.07575757575757576,0.25,0.0,"Based on the provided context documents, the answer is yes, intellectual property can become the property of the counterparty under certain conditions.

In Document 1, it is stated that each Party agrees to assign an undivided one-half right, title, and interest in and to all Joint IP to the other Party. This suggests that the Joint IP is jointly owned by both parties, but it does not explicitly state that it becomes the property of the counterparty upon certain events.

In Document 3, Section 8.2 Improvements and Developments, it is stated that:

* Any Improvements or Developments that are specific to and otherwise solely relate to the manufacturing, processing, or packaging of Products (collectively, ""Customer-Owned Improvements and Developments"") shall be the exclusive property of Customer.
* All such assignments shall include existing or prospective Intellectual Property rights therein in any country.

This suggests that the Customer owns the Intellectual Property related to the manufacturing, processing, or packaging of Products.

In Document 4, Section 39.4, it is stated that:

* Bank of America Data will be treated as Bank of America Confidential Information and Bank of America shall retain all right, title, and interest in and to all Bank of America Data.

This suggests that Bank"
SMITHELECTRICVEHICLESCORP_04_04_2012-EX-10.26-FLEET MAINTENANCE AGREEMENT__Exclusivity,"Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).",0.02702702702702703,0.023166023166023165,0.8571428571428571,0.0,"Based on the provided context documents, there is no explicit mention of an exclusive dealing commitment in most of the documents. However, Document 4 (Pretzel Time, Inc.) has a section titled ""EXCLUSIVE RELATIONSHIP"" in Section 21.A, which states:

""21.A. EXCLUSIVE RELATIONSHIP. The relationship hereby established between Customer and Manufacturer is solely that of independent contractors.""

But another section in the same document ""DISCONTINUANCE OF MARKS"", section 20.C, ""RETURN OF MATERIALS"", section 20.D, ""TELEPHONE COMPANY"", section 20.E, and others, imply exclusivity. Furthermore, Section 21.D ""INDEMNIFICATION"" in the same document provides indemnification for any losses suffered by Pretzel Time due to the acts of the counterparty or its affiliates."
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT__Affiliate License-Licensor,Does the contract contain a license grant by affiliates of the licensor or that includes intellectual property of affiliates of the licensor? ,0.15584415584415584,0.15584415584415584,1.0,1.0,"Based on the provided context documents, the contract does not specify a license grant by affiliates of the Licensor. However, it does mention that the Licensor may assign its rights and obligations under the Agreement to its Affiliates or subsidiaries (Section 14.3, Document 3). 

Additionally, the contract states that the rights and remedies of the Licensor include the right to protect its intellectual property, such as patents, copyrights, trademarks, and trade secrets (Section 6.2, Document 2). However, there is no explicit mention of a license grant that includes intellectual property of affiliates of the Licensor.

It is worth noting that the contract does state that the Licensor shall be solely responsible for delivering to Licensee a Master Copy of each Licensed Product and Documentation, and for the maintenance and support of the Sublicense Copies and Documentation used by any Redistributors and Customers (Section 8.1, Document 5). This implies that any intellectual property rights related to the Licensed Products and Documentation are retained by the Licensor."
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.__Competitive Restriction Exception","This category includes the exceptions or carveouts to Non-Compete, Exclusivity and No-Solicit of Customers above.",0.13829787234042554,0.0425531914893617,0.3076923076923077,0.0,"Based on the provided context documents, the exceptions or carveouts to Non-Compete, Exclusivity, and No-Solicit of Customers are as follows:

1. Document 3 (Pretzel Time Agreement) - Competitive Business: This category includes any business that:

   a) Offers food products which are the same as or similar to the products for consumer consumption off premises or other distribution channels.
   b) Grants or has granted franchises or licenses or establishes or has established joint ventures for the development and/or operation of a business or an enterprise described in the foregoing clause (1).

2. Document 3 (Pretzel Time Agreement) - Joint Ventures: This category includes any joint venture with a competitor that develops and/or operates a business or an enterprise that offers food products similar to those of Pretzel Time.

3. Document 4 (BRAVATEK Solutions Agreement) - Exclusivity on Registered Referrals and Opportunities: The following are exceptions to the exclusivity clause:
   a) Marketing, promoting, selling, or distributing Company Products or soliciting or procuring orders for the Company Products in the Territory other than through the Reseller and pursuant to this Agreement, except with the prior written consent of the Reseller.
   b) Marketing,"
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement__Governing Law,Which state/country's law governs the interpretation of the contract?,0.01818181818181818,0.00909090909090909,0.5,0.0,"According to Document 1, Section 10.9, the substantive laws of the State of Delaware govern the interpretation of the contract."
