id,question,relevance_score,utilization_score,completeness_score,adherence_score,response
finqa_6345,what is the rate of return in cadence design systems inc . of an investment from 2010 to 2011?,0.0,0.0,0.0,1.0,"Unfortunately, there is no information in the provided context documents that mentions Cadence Design Systems Inc. The context documents seem to be related to another company. 

However, Document 7 does mention that the computation of diluted earnings per common share excluded 13.4 million stock options for the year ended December 31, 2011, but this does not provide the rate of return for an investment.

If you could provide more context or information about Cadence Design Systems Inc., I would be happy to try and help you find the answer."
finqa_7055,what is the ratio of the total american personnel to us airways personnel,0.008547008547008548,0.008547008547008548,1.0,0.0,"To find the ratio of the total American personnel to US Airways personnel, we need to calculate the total personnel for each. 

From Document 1, we can see that the column headers are American, US Airways, Wholly-owned Regional Carriers, and Total. 

The row headers are Pilots, Flight Attendants, Maintenance Personnel, Fleet Service Personnel, Passenger Service Personnel, Administrative and Other, and Total.

To find the total personnel for American and US Airways, we need to sum the values in the American and US Airways columns for each row.

For American:
- Pilots: 8600
- Flight Attendants: 15900
- Maintenance Personnel: 10800
- Fleet Service Personnel: 8600
- Passenger Service Personnel: 9100
- Administrative and Other: 8600

Total American personnel: 8600 + 15900 + 10800 + 8600 + 9100 + 8600 = 61600

For US Airways:
- Pilots: 4400
- Flight Attendants: 7700
- Maintenance Personnel: 3600
- Fleet Service Personnel: 6200
- Passenger Service Personnel: 6100
- Administrative and Other: 4800

Total US"
finqa_6634,what portion of total assets acquired of anios are intangible assets?,0.013157894736842105,0.013157894736842105,1.0,1.0,"To determine the portion of total assets acquired that are intangible assets, we need to look at Document 10.

In Document 10, the total assets acquired are $473.6 million and the identifiable intangible assets are $252.0 + $65.7 + $16.1 = $333.8 million.

The portion of total assets acquired that are intangible assets is ($333.8 / $473.6) * 100% ≈ 70.6%.

So, intangible assets account for approximately 70.6% of the total assets acquired by Anios."
finqa_6587,what is the five year total return on the goldman sachs group inc.?,0.4067796610169492,0.1016949152542373,0.125,0.0,"Unfortunately, the provided context documents do not contain enough information to answer the question about the five-year total return on the Goldman Sachs Group Inc. Some of the documents mention the company, but the specific information required is not present.

However, Document 7 (The Goldman Sachs Group, Inc. and Subsidiaries Management's Discussion and Analysis) contains information about the company's revenue, but it does not provide the five-year total return. 

Document 8 (Item 5. Market for the Registrant's Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities) contains information about the company's stock performance graph for the five years ended December 31, 2009, but it is not a five-year total return."
finqa_7027,what is the percentage change in the total carrying amount of goodwill from 2016 to 2017?,0.09826589595375723,0.09826589595375723,1.0,1.0,The answer cannot be determined with the provided information. Documents 2 and 9 do not provide the total carrying amount of goodwill for 2016 and 2017.
finqa_6251,what is the net change in net revenue during 2015 for entergy corporation?,0.15384615384615385,0.11538461538461539,0.75,1.0,"The net change in net revenue during 2015 for Entergy Corporation is not explicitly mentioned in the provided documents. However, we can infer some information about the change in net revenue from Document 7, which mentions an analysis of the change in net revenue comparing 2015 to 2014.

Document 7 mentions the following items that occurred in October 2015, which affected the results of operations for 2015:

1. A deferred tax asset and resulting net increase in tax basis of approximately $334 million.
2. A regulatory liability of $107 million ($66 million net-of-tax) as a result of customer credits to be realized by electric customers of Entergy Louisiana.

However, it does not provide explicit information about the net change in net revenue during 2015. To determine the net change in net revenue, we would need more information, such as the change in operating revenues, fuel, fuel-related, and purchased power expenses, and other regulatory charges (credits) during 2015.

Unfortunately, the provided documents do not contain sufficient information to determine the net change in net revenue during 2015 for Entergy Corporation."
finqa_7073,what was the 2015 total return for the peer group?,0.036585365853658534,0.036585365853658534,1.0,1.0,"According to Document 5:
[["""", ""2013"", ""2014"", ""2015"", ""2016"", ""2017""], [""cme group inc . "", ""$ 164.01"", ""$ 194.06"", ""$ 208.95"", ""$ 279.85"", ""$ 370.32""], [""s&p 500"", ""132.39"", ""150.51"", ""152.59"", ""170.84"", ""208.14""], [""peer group"", ""176.61"", ""187.48"", ""219.99"", ""249.31"", ""323.23""]]
The 2015 total return for the peer group is $219.99"
finqa_7345,what was the profit margin of printing papers in 2005,0.033707865168539325,0.016853932584269662,0.5,1.0,"Unfortunately, I don't have enough information to provide the printing papers profit margin for 2005. The information available does not include the printing papers segment's net sales and profit for 2005."
finqa_7099,what was the percent change in the aggregate net asset values of the direct lending collateral pools between 2007 and 2008?,0.00558659217877095,0.00558659217877095,1.0,1.0,"To answer the question, we need to look at the information provided in Document 2, which shows the aggregate net asset values of the direct lending collateral pools for the years 2007, 2008, and 2009.

According to the document, the aggregate net asset values of the direct lending collateral pools were:

- $150 billion in 2007
- $85 billion in 2008
- $85 billion in 2009

To find the percent change between 2007 and 2008, we can use the following formula:

Percent change = ((New value - Old value) / Old value) x 100

Plugging in the values, we get:

Percent change = ((85 - 150) / 150) x 100
Percent change = (-65 / 150) x 100
Percent change = -43.33%

So, the aggregate net asset values of the direct lending collateral pools decreased by 43.33% between 2007 and 2008."
finqa_6351,"what was the percentage cumulative total shareholder return on disca common stock for the five year period ended december 31 , 2014?",0.057971014492753624,0.0,0.0,1.0,"Unfortunately, the provided context documents do not contain information about the cumulative total shareholder return on ""disca common stock"" for the five year period ended December 31, 2014."
