id,question,relevance_score,utilization_score,completeness_score,adherence_score,response
finqa_6345,what is the rate of return in cadence design systems inc . of an investment from 2010 to 2011?,0.018867924528301886,0.018867924528301886,1.0,1.0,"Unfortunately, I cannot find the rate of return in Cadence Design Systems Inc. of an investment from 2010 to 2011 in the provided context documents.

However, the stockholder return performance graph in Document 1 does provide some information on the cumulative 5-year total stockholder return on Cadence Design Systems' common stock, but it is not clear if it includes the rate of return for a specific time period.

If you have any other question or would like to know something else, please let me know."
finqa_7055,what is the ratio of the total american personnel to us airways personnel,0.0043859649122807015,0.0043859649122807015,1.0,0.0,"To find the ratio of the total American personnel to US Airways personnel, we need to look at the number of personnel in the ""us airways"" column and the total number of personnel in the ""total"" column.

From Document 1:
- Total personnel in the ""us airways"" column: 32800
- Total personnel in the ""total"" column: 113300

The ratio of the total American personnel to US Airways personnel is 32800 / 113300 ≈ 0.289 or approximately 28.9%."
finqa_6634,what portion of total assets acquired of anios are intangible assets?,0.12578616352201258,0.006289308176100629,0.05,1.0,"To find the portion of total assets acquired that are intangible assets, we need to look at Document 6. In this document, it is stated that the total assets acquired were $473.6 million, and the identifiable intangible assets were $252.0 million (customer relationships) + $65.7 million (trademarks) + $16.1 million (other technology). 

Total identifiable intangible assets = $252.0 million + $65.7 million + $16.1 million = $333.8 million.

To find the portion of total assets acquired that are intangible assets, we can divide the total identifiable intangible assets by the total assets acquired.

Portion of total assets acquired that are intangible assets = (Total identifiable intangible assets) / (Total assets acquired)
= $333.8 million / $473.6 million
= 0.706 or approximately 70.6%"
finqa_6587,what is the five year total return on the goldman sachs group inc.?,0.34579439252336447,0.0,0.0,1.0,"I am unable to verify the five year total return on the Goldman Sachs Group, Inc. from the provided context."
finqa_7027,what is the percentage change in the total carrying amount of goodwill from 2016 to 2017?,0.35148514851485146,0.35148514851485146,1.0,0.0,"The required information to answer the question is not directly provided in the given context documents. Document 5 provides information about the deduction for goodwill and identifiable intangible assets, but it does not provide the total carrying amount of goodwill for 2016 and 2017. 

However, in Document 8, long-term borrowings are mentioned, but the carrying value and fair value of long-term borrowings are provided. 

Document 4 provides the information about the long-lived assets including goodwill. It mentions that the company reviews property, plant, and equipment and certain identifiable intangibles, excluding goodwill, for impairment whenever events or changes in circumstances indicate the carrying amount of an asset may not be recoverable.

Document 1 provides information about the goodwill impairment assessment for 2017, indicating the estimated fair value of each of its reporting units exceeded its carrying amount by a significant margin. 

However, in Document 2(b), it is mentioned that for 2017, $79.2 million of the goodwill related to businesses acquired is expected to be tax-deductible. However, this information does not provide the total carrying amount of goodwill for 2017.

Document 3 provides information about the goodwill impairment assessment. It mentions that at December 31, 2017,"
finqa_6251,what is the net change in net revenue during 2015 for entergy corporation?,0.5833333333333334,0.06944444444444445,0.11904761904761904,0.0,"To find the net change in net revenue during 2015 for Entergy Corporation, we need to consider the information from multiple documents.

From Document 2, we can see that the change in net revenue from 2014 to 2015 is not explicitly mentioned. However, we can refer to Document 6, which mentions that the net revenue for 2015 includes the sale of the Rhode Island State Energy Center for a gain of $154 million, and a write-off of $77 million related to the Waterford 3 replacement steam generator project.

But to find the net change, we need to look at another document. From Document 5, we can see that the net revenue analysis is provided for 2011 to 2010, but not for 2015. However, from Document 6, we can also see that the net revenue analysis is provided for 2015 to 2014.

From Document 6, we can see the following net revenue analysis for 2015 compared to 2014:

- Increase in net revenue due to a deferred tax asset: $334 million
- Decrease in net revenue due to customer credits: $107 million (net-of-tax)
- Decrease in net revenue due to the sale of the Rhode"
finqa_7073,what was the 2015 total return for the peer group?,0.10294117647058823,0.014705882352941176,0.14285714285714285,1.0,"Based on the information provided in Document 5, the 2015 total return for the peer group is 166.15."
finqa_7345,what was the profit margin of printing papers in 2005,1.0,0.0,0.0,0.0,"Unfortunately, the provided documents do not contain enough information to calculate the profit margin of printing papers in 2005 directly. However, we can infer some information from the documents.

Document 4 shows the net sales for the printing papers segment in 2005 as $592 million. Document 4 also shows the total from continuing operations in 2005 as $992 million.

Document 2 shows the net sales for the U.S. uncoated papers segment in 2005 as $3.2 billion, but we don't know what percentage of the printing papers segment this is.

However, we can look at the information in Document 1. It mentions that operating profits in 2006 were 43% higher than in 2005, but it doesn't give us the actual operating profit for 2005.

Document 1 also mentions that the printing papers segment took 970000 tons of total downtime in 2005, of which 520000 tons related to lack-of-orders.

Document 2 mentions that lack-of-order downtime declined from 450000 tons in 2005 to 40000 tons in 2006.

Given the lack of direct information to calculate the profit margin for printing papers in 2005, we cannot provide a specific answer."
finqa_7099,what was the percent change in the aggregate net asset values of the direct lending collateral pools between 2007 and 2008?,0.018691588785046728,0.018691588785046728,1.0,1.0,"The percent change in the aggregate net asset values of the unregistered direct lending collateral pools is not directly stated in the provided documents. However, the table in Document 7 shows the aggregate net asset values of the unregistered direct lending collateral pools and the aggregate net asset value of the unregistered collateral pools underlying the SSGA lending funds, in each case based on a constant net asset value of $1.00 per unit.

The values are as follows:

- December 31, 2007 (1): $85 billion (Direct Lending Collateral Pools) and $44 billion (Collateral Pools underlying SSGA Lending Funds)
- December 31, 2008: $85 billion (Direct Lending Collateral Pools) and $31 billion (Collateral Pools underlying SSGA Lending Funds)

To calculate the percent change in the aggregate net asset values of the direct lending collateral pools between 2007 and 2008, we need to find the difference in the values and divide it by the original value, then multiply by 100.

The percent change is ((85 - 85) / 85) * 100 = 0%.

So, the aggregate net asset values of the direct lending collateral pools remained the same"
finqa_6351,"what was the percentage cumulative total shareholder return on disca common stock for the five year period ended december 31 , 2014?",0.0,0.0,0.0,1.0,"The documents provided do not have any information about a company named ""Disca"" or its stock performance. There is no data available to answer the question."
finqa_6335,what was the percentage change in the cash dividends paid per common share from 2006 to 2007,0.008264462809917356,0.008264462809917356,1.0,1.0,"To find the percentage change in the cash dividends paid per common share from 2006 to 2007, we first need to find the cash dividends paid per common share for both years.

Document 1:
[""cash dividends paid per common share"", ""$ 1.11"", ""$ 1.08"", ""$ 1.00""]

From the document, we can see that the cash dividends paid per common share in 2006 was $1.08 and in 2007 was $1.11.

Now, we can calculate the percentage change:

Percentage change = ((New value - Old value) / Old value) * 100
Percentage change = (($1.11 - $1.08) / $1.08) * 100
Percentage change = ($0.03 / $1.08) * 100
Percentage change = 2.78%

So, the cash dividends paid per common share increased by 2.78% from 2006 to 2007."
finqa_6469,what is the after-tax share-based compensation cost in 2010?,0.008264462809917356,0.008264462809917356,1.0,1.0,"The share-based compensation cost in 2010 is $18.1 million, but to find the after-tax share-based compensation cost, we need to subtract the income tax benefit.

Document 1 shows the income tax benefit for 2010 as ($ 6.3) ( 6.3 ). 

So, the after-tax share-based compensation cost for 2010 is $18.1 - $6.3 = $ 11.8 million."
finqa_7144,"what was the average for ""other"" loans held in 2012 and 2011?",0.06944444444444445,0.06944444444444445,1.0,0.0,"To find the average for ""other"" loans held in 2012 and 2011, we need to check the context documents for any information related to ""other"" loans. Since there is no direct information available about ""other"" loans, we can consider the context of loans held-for-sale, loans retained, and loans at fair value.

However, the context documents don't provide a direct average for ""other"" loans."
finqa_7285,what is the percentage change in total financial liabilities at fair value in 2012?,0.019230769230769232,0.009615384615384616,0.5,1.0,"To find the percentage change in total financial liabilities at fair value in 2012, we need to calculate the difference between the total financial liabilities at fair value in 2012 and the total financial liabilities at fair value in 2011, then divide by the total financial liabilities at fair value in 2011.

From Document 8:
Total financial liabilities at fair value in 2012: $377,677
Total financial liabilities at fair value in 2011: $388,669

The difference is: $377,677 - $388,669 = -$11,992

The percentage change is: (-$11,992 / $388,669) * 100% ≈ -3.08%

So, the percentage change in total financial liabilities at fair value in 2012 is approximately -3.08%."
finqa_6726,"what are the net revenues in investment management in 2016 , in billions?",0.03636363636363636,0.03636363636363636,1.0,1.0,"The information is not directly in the provided documents, but we can find it by looking at the information about 2017 and the increase in investment management revenues. 

According to Document 1, Investment management revenues in the consolidated statements of earnings were $ 5.80 billion for 2017, 7% ( 7 % ) higher than 2016. To find the 2016 value, we need to divide the 2017 value by 1.07 (1 + 0.07). 

$ 5.80 billion / 1.07 = $ 5.415 billion 

So, the net revenues in investment management in 2016, in billions, are approximately $ 5.415 billion."
finqa_6786,was was the total amount spent on stock repurchases in december 2012?,0.05217391304347826,0.034782608695652174,0.6666666666666666,0.0,"The information from Document 2 states that during the first quarter of 2012, the company repurchased and retired 1 million shares of its common stock for cash aggregating $8 million."
finqa_6371,what was the net change in tax positions in 2014,0.08536585365853659,0.024390243902439025,0.2857142857142857,0.0,"To determine the net change in tax positions in 2014, we need to look at the changes in the table in Document 3.

The table shows the following changes in 2014:
- Additions based on tax positions related to the current year: 25
- Additions for tax positions of prior years: 12
- Reductions for tax positions of prior years: -26
- Settlements: -6
- Business combinations: 1
- Lapse of statute of limitations: -6
- Foreign currency translation: 4

To find the net change, we add the positive values and subtract the negative values:
- 25 + 12 + 1 + 4 = 42
- -26 - 6 - 6 = -38

The net change in tax positions in 2014 is -38 + 42 = 4.

However, the question asks for the net change in tax positions in 2014. To determine the net change, we need to look at Document 6. The table in Document 6 shows the following changes:
- Balance at January 1: $1701
- Additions based on tax positions related to the current year: 63
- Additions based on tax"
finqa_6263,what portion of the total noncancelable future lease commitments are due in fiscal year of 2019?,0.14285714285714285,0.026785714285714284,0.1875,0.0,"Based on the information provided in Document 1, we can see the following information for fiscal years 2019 and beyond:

- In fiscal 2019, the operating leases are $ 137.4 million and the capital leases are $ 0.3 million.

- In the ""after fiscal 2023"" category, the operating leases are $ 91.2 million and the capital leases are $ - (which indicates that there are no capital leases beyond fiscal 2023).

However, we need to find the portion of the total noncancelable future lease commitments that are due in fiscal year 2019. We can calculate this by subtracting the total for fiscal 2018 (not provided) from the total for fiscal 2019 (not provided), we need to look at the ""after fiscal 2023"" category.

Unfortunately, the total noncancelable future lease commitments value is provided for fiscal 2019, which is $ 559.3 million. However, only the ""operating leases"" and ""capital leases"" for fiscal 2019 and ""after fiscal 2023"" are provided.

To calculate the portion due in fiscal year 2019, we will calculate the total non-cancelable lease commitments for 2019 and the"
finqa_6419,"in millions for 2012 and 2011 , what was the maximum tier 2 capital?",0.011764705882352941,0.011764705882352941,1.0,1.0,"According to Document 1, the maximum Tier 2 capital is shown as ""$ 39"" for both 2012 and 2011."
finqa_6743,what portion of the total restricted units will vest in 2011?,0.15789473684210525,0.0,0.0,1.0,"Unfortunately, the provided context documents do not contain enough information to answer the question."
finqa_6470,what was the percent change in number of shares purchased by employees between 2010 and 2011,0.006134969325153374,0.006134969325153374,1.0,1.0,"To determine the percent change in number of shares purchased by employees between 2010 and 2011, we need to look at Document 2, which provides the number of shares purchased by employees in the years ended December 31, 2012, 2011, and 2010.

According to Document 2, in the years ended December 31, 2012, 2011, and 2010, employees purchased 1.4 million, 2.2 million, and 2.7 million shares, respectively.

The percent change in number of shares purchased by employees between 2010 and 2011 can be calculated as follows:

((2.2 million - 2.7 million) / 2.7 million) x 100%
= (-0.5 million / 2.7 million) x 100%
= -18.52%

So, the number of shares purchased by employees decreased by 18.52% between 2010 and 2011."
finqa_6468,what was the percent of the total gains that was from the sales of land,0.15625,0.0390625,0.25,0.0,"To answer this question, I will need to refer to multiple context documents. Specifically, I will need to refer to documents that mention the gain on land sales.

From Document 1, we see that the gain on land sales are derived from sales of undeveloped land owned by the company. However, we don't have a specific percentage.

From Document 2, we also see that the gain on land sales is mentioned, but we don't have a specific percentage.

From Document 5, we see that the ""gain on land sales"" for the year 2004 was $10,543 and for the year 2003 was $7,695.

Document 3 provides some information about gains from depreciable properties and land sales in 2000 and 2001. The gain on land sales for 2000 and 2001 were $9,165 and $5,080 respectively.

To find the total gains, I will need to refer to other documents. From Document 6, we see that the gain on sales of depreciable properties and land sales for 2001 was $4,528 and $5,080 respectively.

From Document 5, we see that the total gains for 2004 were $10,202 and"
finqa_6574,what was the percentual decrease observed in the liabilities for accrued interest and penalties during 2012 and 2013?,0.23703703703703705,0.014814814814814815,0.0625,0.0,"To find the percentual decrease observed in the liabilities for accrued interest and penalties during 2012 and 2013, we need to look for the information about the interest and penalties in the context documents.

Document 2 states that as of December 31, 2012, the total balance in the table (which is not shown) does not include interest and penalties of $260, and as of December 31, 2013, the total balance does not include interest and penalties of $242.

Document 5 states that the total balance in the table does not include interest and penalties of $157 and $242 as of December 31, 2014 and 2013, respectively.

However, Document 9 provides the information we need. It states that the total amount of accrued interest and penalties as of December 31, 2008 and 2007 is $33.5 and $33.6, respectively. There is no more recent information about the accrued interest and penalties in this document, but we can find it in Document 5, which states that the total amount of accrued interest and penalties as of December 31, 2013 and 2012 is $242 and not available, but $242 is available for 2013 and"
finqa_6667,what portion of the total estimated purchase price is paid in cash?,0.00966183574879227,0.004830917874396135,0.5,1.0,"To find the portion of the total estimated purchase price paid in cash, we need to look at the ""cash portion of consideration"" from Document 1.

In Document 1, the ""cash portion of consideration"" is listed as ""$ 2094800"".

The total estimated purchase price is listed as ""$ 6156900"" in Document 1.

To find the percentage of the total estimated purchase price paid in cash, we can divide the ""cash portion of consideration"" by the total estimated purchase price and multiply by 100:

($ 2094800 / $ 6156900) * 100 = 34.0%

So, 34.0% of the total estimated purchase price is paid in cash."
finqa_6526,as a result of the sales of certain non-core towers and other assets what was the percent of the change in the recorded net losses from 2007 to 2008,0.037267080745341616,0.037267080745341616,1.0,1.0,"To answer this question, we need to extract the relevant information from Document 4 (which seems to be a repeat of Document 1).

From Document 4: 
""as a result, the company recorded net losses and impairments of approximately $ 10.5 million , $ 7.1 million and $ 2.0 million for the years ended december 31 , 2008 , 2007 and 2006 , respectively.""

The change in net losses from 2007 to 2008 is $ 10.5 million - $ 7.1 million = $ 3.4 million.

To find the percent of change, we need to divide the change in net losses ($ 3.4 million) by the net losses in 2007 ($ 7.1 million) and multiply by 100.

($ 3.4 million / $ 7.1 million) * 100 ≈ 47.88%

So, the percent of the change in the recorded net losses from 2007 to 2008 is approximately 47.88%."
