id,question,relevance_score,utilization_score,completeness_score,adherence_score,response
finqa_6345,what is the rate of return in cadence design systems inc . of an investment from 2010 to 2011?,0.1509433962264151,0.07547169811320754,0.5,0.0,"Unfortunately, there is no explicit information in the provided context documents regarding the rate of return in Cadence Design Systems Inc. for an investment from 2010 to 2011. However, Document 4 provides information about the value of restricted stock as of December 30, 2011, 2010, and 2009, but does not provide the rate of return for the period 2010 to 2011.

Document 5 mentions the cumulative total stockholder returns for an investment from 2009 to 2014, but does not provide the rate of return specifically for the period 2010 to 2011.

Document 10 provides information about the cumulative total stockholder returns for an investment from 2008 to 2011, but the rate of return is not explicitly mentioned. However, it can be inferred that the investment returns from 2008 to 2011 were positive, as the cumulative total stockholder return increased from $100 to $151.19 for a $100 investment in Cadence Design Systems Inc.'s common stock.

Document 8 provides information about the 5-year cumulative total stockholder return from January 2, 2010, to January 3, 2015, but does not provide the rate of"
finqa_7055,what is the ratio of the total american personnel to us airways personnel,0.011235955056179775,0.011235955056179775,1.0,0.0,"To find the ratio of total American personnel to US Airways personnel, we need to first calculate the total number of personnel for American and US Airways from the provided documents.

From Document 1, we can see the total number of personnel for American and US Airways as follows:

American: 31600 (8600 + 15900 + 10800 + 8600 + 9100 + 8600)
US Airways: 32800

To find the ratio, we can divide the total number of American personnel by the total number of US Airways personnel:

Ratio = Total American personnel / Total US Airways personnel
= 31600 / 32800
= 0.964 (approximately)

Therefore, the ratio of the total American personnel to US Airways personnel is approximately 0.964 or 96.4%."
finqa_6634,what portion of total assets acquired of anios are intangible assets?,0.05319148936170213,0.031914893617021274,0.6,0.0,"To find the portion of total assets acquired of anios that are intangible assets, we need to refer to Document 5, which mentions the components of the cash paid for anios. According to Document 5:

""(4) consists of customer-related intangibles of approximately $250.0 million and network location intangibles of approximately $118.0 million.""

However, this information alone is not sufficient as we don't know the total cash paid for anios. 

Fortunately, Document 9 is not relevant in this case, but Document 10 is, it does not provide the total assets acquired, but we can use Document 5 to find the answer since it provides the amount of intangible assets acquired and also provides a relevant piece of information from Document 5, which is the total amount of customer-related intangibles and network location intangibles."
finqa_6587,what is the five year total return on the goldman sachs group inc.?,0.3076923076923077,0.0,0.0,1.0,I couldn't find any information on the five-year total return of the Goldman Sachs Group Inc. within the provided context documents.
finqa_7027,what is the percentage change in the total carrying amount of goodwill from 2016 to 2017?,0.30303030303030304,0.30303030303030304,1.0,1.0,"Unfortunately, I do not have enough information to determine the percentage change in the total carrying amount of goodwill from 2016 to 2017. Documents 1, 2, 3, 7, and 8 mention goodwill and its accounting, but I do not see any information about the total carrying amount of goodwill in 2016 and 2017."
finqa_6251,what is the net change in net revenue during 2015 for entergy corporation?,0.9,0.06,0.06666666666666667,0.0,"To find the net change in net revenue during 2015 for Entergy Corporation, we need to look at the changes in different components of net revenue across various documents.

From Document 2, we know that 2015 net income increased $16.5 million primarily due to lower other operation and maintenance expenses, higher net revenues, and a lower effective income tax rate. This implies that net revenue increased.

From Document 7, we see that results of operations for 2015 include a deferred tax asset and resulting net increase in tax basis of approximately $334 million, which would affect net income, but not directly mentioned in the context of net revenue. However, we also see that results of operations for 2015 include the sale of the 583 MW Rhode Island State Energy Center for a realized gain of $154 million ($100 million net-of-tax), and the write-off and regulatory charges to recognize that a portion of the assets associated with the Waterford 3 Replacement Steam Generator Project is no longer probable of recovery, for a total of $77 million ($47 million net-of-tax). Additionally, we see that results of operations for 2015 include charges related to Vermont Yankee primarily resulting from the effects of an updated decommissioning cost study.

From Document 9"
finqa_7073,what was the 2015 total return for the peer group?,0.6428571428571429,0.0,0.0,1.0,I am unable to answer the question with the provided information as there is no direct reference to the 2015 total return for any specific peer group in the context documents.
finqa_7345,what was the profit margin of printing papers in 2005,0.20634920634920634,0.19047619047619047,0.8846153846153846,0.0,"To find the profit margin of printing papers in 2005, we need to calculate the operating profits over net sales for the printing papers segment in 2005.

However, the provided documents don't contain enough information about the net sales for the printing papers segment in 2005. Document 1 mentions a decrease in net sales of 3% in 2006 from both 2005 and 2004, and Document 3 mentions net sales for the U.S. Uncoated papers segment in 2005, but we cannot find the net sales for the Printing Papers segment.

Document 6 mentions the operating profits for the U.S. Containerboard segment in 2006 were more than double 2005 levels, but we cannot find the net sales for the U.S. Containerboard segment in 2005 or 2006.

Document 3 mentions the net sales for U.S. Uncoated papers in 2005 were $3.2 billion.

Document 6 mentions the net sales for U.S. Containerboard in 2006 were $955 million, and the operating profits were more than double 2005 levels.

Document 3 also mentions the net sales for U.S. Uncoated papers in 2005 were $3."
finqa_7099,what was the percent change in the aggregate net asset values of the direct lending collateral pools between 2007 and 2008?,0.00684931506849315,0.00684931506849315,1.0,1.0,"To find the percent change in the aggregate net asset values of the direct lending collateral pools between 2007 and 2008, we need to calculate the difference between the two years and then divide by the original value.

From Document 3:

""collateral pools underlying ssga lending funds"", 
""december 31 , 2009""       = 24
""december 31 , 2008""       = 31
""december 31 , 2007 ( 1 )""  = 44

We will use the values for 2008 and 2007.

The difference between 2008 and 2007 is 31 - 44 = -13 (a decrease of 13)

The original value in 2007 is 44.

The percent change is then ( -13 / 44 ) * 100 = - 29.55%

So the aggregate net asset values of the direct lending collateral pools decreased by 29.55% between 2007 and 2008."
finqa_6351,"what was the percentage cumulative total shareholder return on disca common stock for the five year period ended december 31 , 2014?",0.6190476190476191,0.0,0.0,1.0,I'm unable to answer that question since it was not provided in any of the given context documents.
