id,question,relevance_score,utilization_score,completeness_score,adherence_score,response
finqa_6345,what is the rate of return in cadence design systems inc . of an investment from 2010 to 2011?,0.0425531914893617,0.0425531914893617,1.0,1.0,"According to Document 2, the rate of return in Cadence Design Systems Inc. from 2010 to 2011 can be calculated as follows:

- The initial investment in 2010 was $100.
- The value of the investment at the end of 2011 was $137.90.

To calculate the rate of return, we can use the formula:

Rate of Return = (Ending Value - Beginning Value) / Beginning Value
= ($137.90 - $100) / $100
= 0.378 or 37.8%

So, the rate of return in Cadence Design Systems Inc. from 2010 to 2011 was 37.8%."
finqa_7055,what is the ratio of the total american personnel to us airways personnel,0.004329004329004329,0.004329004329004329,1.0,1.0,"To find the ratio of the total American personnel to US Airways personnel, we first need to calculate the total personnel for each airline. We can do this by summing up the personnel in the columns for American, US Airways, and wholly-owned regional carriers in Document 1.

American: 8600 + 15900 + 10800 + 8600 + 9100 + 6100 + 8600 = 61600
US Airways: 4400 + 7700 + 3600 + 6200 + 6100 + 4800 + 32800 = 32800

We then calculate the ratio by dividing the total American personnel by the total US Airways personnel.

Ratio = 61600 / 32800 ≈ 1.88

So the ratio of the total American personnel to US Airways personnel is approximately 1.88."
finqa_6634,what portion of total assets acquired of anios are intangible assets?,0.10457516339869281,0.0196078431372549,0.1875,1.0,"To determine the portion of total assets acquired of Anios that are intangible assets, we need to look at Document 6 and Document 8.

Document 6 shows the total assets acquired and intangible assets separately. Total assets acquired are $473.6 million, and identifiable intangible assets are $252.0 million + $65.7 million + $16.1 million = $333.8 million.

Document 8 shows the total assets acquired and intangible assets separately. Total assets acquired are $2,217 million, and identifiable intangible assets are $1,800 million + $890 million + $215 million = $2,905 million. However, Document 8 is about a different acquisition and not Anios.

Since Document 6 is about Anios, we can calculate the portion of total assets acquired that are intangible assets as follows:

($333.8 million / $473.6 million) * 100% ≈ 70.5%

Therefore, approximately 70.5% of the total assets acquired of Anios are intangible assets."
finqa_6587,what is the five year total return on the goldman sachs group inc.?,0.0,0.0,0.0,1.0,"The provided context documents do not contain information about the five-year total return on the Goldman Sachs Group, Inc."
finqa_7027,what is the percentage change in the total carrying amount of goodwill from 2016 to 2017?,0.6878048780487804,0.15121951219512195,0.2198581560283688,0.0,"To find the percentage change in the total carrying amount of goodwill from 2016 to 2017, we need to find the total carrying amount of goodwill in 2016 and 2017.

Unfortunately, the provided documents do not mention the total carrying amount of goodwill for 2016. However, Document 5 mentions that the goodwill deduction for 2017 and 2016 was $3.67 billion and not provided for 2016.

Document 5 also mentions the goodwill deduction for 2017 and 2016, and it is $3.67 billion in both years. However, this is not the total carrying amount of goodwill, but the amount of goodwill that is tax-deductible.

Since the total carrying amount of goodwill for 2016 is not provided in the documents, it is not possible to calculate the percentage change in the total carrying amount of goodwill from 2016 to 2017."
finqa_6251,what is the net change in net revenue during 2015 for entergy corporation?,0.5972222222222222,0.013888888888888888,0.023255813953488372,0.0,"Unfortunately, I cannot find the answer to the question in the provided documents. The question is about the net change in net revenue for Entergy Corporation in 2015, but the documents do not contain any information about the net revenue of Entergy Corporation as a whole. They contain information about the net revenue of various subsidiaries, such as Entergy Mississippi, Entergy Louisiana, and Entergy Arkansas, but not about the parent company, Entergy Corporation.

However, I can find the net change in net revenue for Entergy Mississippi in 2015, which is a $16.5 million increase, as stated in Document 10."
finqa_7073,what was the 2015 total return for the peer group?,0.1791044776119403,0.029850746268656716,0.16666666666666666,1.0,"From Document 5, the 2015 total return for the peer group is 203.87."
finqa_7345,what was the profit margin of printing papers in 2005,0.5214285714285715,0.007142857142857143,0.0136986301369863,0.0,"To determine the profit margin of printing papers in 2005, we need to know the net sales and operating profit of printing papers in 2005. 

The net sales of printing papers in 2005 are $592 million (from Document 4).

The operating profit of printing papers is not directly given in any of the documents. However, Document 4 does not provide the operating profit directly for printing papers in 2005."
finqa_7099,what was the percent change in the aggregate net asset values of the direct lending collateral pools between 2007 and 2008?,0.02631578947368421,0.008771929824561403,0.3333333333333333,1.0,"Based on the provided documents, the answer can be found in Document 6:

[[""in billions of dollars"", ""2009"", ""2008"", ""2007"", ""% (  % ) change 2009 vs . 2008"", ""% (  % ) change 2008 vs . 2007""], [""unregistered direct lending collateral pools"", ""24"", ""31"", ""44"", ""nm"", ""-30% ( -30 % )""]]

Document 6 shows the percent change in the aggregate net asset values of the direct lending collateral pools between 2007 and 2008 is a -30% change."
finqa_6351,"what was the percentage cumulative total shareholder return on disca common stock for the five year period ended december 31 , 2014?",0.0,0.0,0.0,1.0,"The information is not available in the provided context documents. The context documents mention various companies and their stock performance, but there is no mention of ""Disca"" or its stock performance."
finqa_6335,what was the percentage change in the cash dividends paid per common share from 2006 to 2007,0.010101010101010102,0.010101010101010102,1.0,1.0,"To find the percentage change in the cash dividends paid per common share from 2006 to 2007, we need to look at the change in the amount from 2006 to 2007 and then calculate the percentage change.

From Document 1, we can see the cash dividends paid per common share for both 2006 and 2007:

- 2006: $ 1.08
- 2007: $ 1.11

To find the percentage change, we use the formula: 

((New Value - Old Value) / Old Value) * 100

Plugging in the values, we get:

((1.11 - 1.08) / 1.08) * 100
= (0.03 / 1.08) * 100
= 2.78%

So, the cash dividends paid per common share increased by 2.78% from 2006 to 2007."
